COUNTRY,national_valuation_usd_millions,national_valuation_rank,physical_volume_million_fine_troy_oz,physical_volume_rank,market_value_million_sdr,market_value_rank,national_rank_minus_physical_rank,market_rank_minus_physical_rank
United States,11041.05996,21,261.4989262,1,401973.32941170729,1,20,0
Germany,222475.228,1,107.791,2,165695.16278185591,2,-1,0
Italy,162699.1098,2,78.829,3,121175.0887,3,-1,0
France,161712.5417,3,78.351,4,120440.3123,4,-1,0
Russian Federation,155857.7,4,75,5,115289.1912,5,-1,0
"China, People's Republic of",148226,5,71.87,6,110477.789,6,-1,0
Switzerland,68978.35536,6,33.437,7,51398.99581539198,7,-1,0
Japan,56095,7,27.19888083,8,41809.826294533552,8,-1,0
India,47955.56,9,25.83590043,9,39714.667526645753,9,0,0
"Türkiye, Republic of",48164,8,23.354,10,35899.516950463993,10,-2,0
"Netherlands, The",40641.23827,10,19.691,11,30268.792852255989,11,-1,0
Taiwan Province of China,5001.9,36,13.58,12,20875.02955327999,12,24,0
Portugal,25390.71216,11,12.302,13,18910.501735231988,13,-2,0
"Uzbekistan, Republic of",24632.16,12,11.94,14,18354.03923903999,14,-2,0
"Poland, Republic of",23784.35394,13,11.53236712,15,17727.430364131029,15,-2,0
Saudi Arabia,433.0666667,73,10.386941,16,15966.693692428251,16,57,0
United Kingdom,20599.12817,14,9.976041071,17,15335.06275271425,17,-3,0
"Kazakhstan, Republic of",19510.0446,15,9.45987424,18,14541.61666644419,18,-3,0
Lebanon,19165.4095,16,9.222,19,14175.95894995199,19,-3,0
Spain,18684.93881,17,9.053,20,13916.17397244799,20,-3,0
Austria,18579.67736,18,9.002,21,13837.77732243199,21,-3,0
Thailand,16192.41,19,7.85,22,12066.93535,22,-3,0
Singapore,6438.1,32,7.396,23,11369.05144,23,9,0
Belgium,15089.53801,20,7.311,24,11238.39036,24,-4,0
Philippines,10557.20265,22,5.113561139,26,7860.5110382274743,26,-4,0
Libya,2101.1,51,4.715,27,7247.8471534399969,27,24,0
Iraq,9455.81,23,4.584,28,7046.4753661439972,28,-5,0
Brazil,8608.66555,24,4.168461764,29,6407.7144709252916,29,-5,0
"Egypt, Arab Republic of",8439.5,25,4.06057171,30,6241.8670434066771,30,-5,0
Sweden,8350,26,4.042,31,6213.3188110719984,31,-5,0
South Africa,8339,27,4.032,32,6197.9469189119982,32,-5,0
Mexico,8027.465101,28,3.862330606,33,5937.1329559860333,33,-5,0
Greece,7591.207879,29,3.678,34,5653.7819364479983,34,-5,0
"Korea, Republic of",4794.8,38,3.358016475,35,5161.9067125203319,35,3,0
Romania,6875.037695,30,3.3316,36,5121.299592025598,36,-6,0
Qatar,6695.698077,31,3.245643718,37,4989.1685219624433,37,-6,0
Hungary,6276,33,3.038,38,4669.9808382079982,38,-5,0
Kuwait,103.4790546,89,2.53896968,39,3902.8768118469688,39,50,0
Indonesia,5234.38,34,2.52600264,40,3882.9440177955289,40,-6,0
Australia,5137,35,2.472,41,3799.9317419519989,41,-6,0
United Arab Emirates,4941.2,37,2.39515269,42,3681.8028861363091,42,-5,0
Jordan,4721.066291,39,2.288518637,43,3517.8861694114171,43,-4,0
Denmark,4299.672335,41,2.1396,44,3288.9700465535989,44,-3,0
Pakistan,4320.989855,40,2.078998198,45,3195.813610066617,45,-5,0
Argentina,4095.87279,42,1.98496343,46,3051.264379,46,-4,0
"Belarus, Republic of",3582.2315,43,1.7369,47,2669.9439492703991,47,-4,0
Finland,3252.785105,44,1.576,48,2422.6102044159989,48,-4,0
Cambodia,2838.0539597006118,45,1.37,49,2105.9492259199992,49,-4,0
Bulgaria,2708.0639,46,1.3138,50,2019.5591919807989,50,-4,0
"Serbia, Republic of",2648.842251,47,1.284358024,51,1974.301303858351,51,-4,0
Malaysia,2589.154616,48,1.25,52,1921.486519999999,52,-4,0
Peru,2299.33744,49,1.11468031,53,1713.4745518195359,53,-4,0
Slovak Republic,2103.164989,50,1.019,54,1566.395811103999,54,-4,0
Czech Republic,2033.881435,52,0.986187,55,1515.9560213593909,55,-3,0
Ukraine,1798.62,53,0.87,56,1337.354618,56,-3,0
Ecuador,1756.170625,54,0.844962772,57,1298.8676610398661,57,-3,0
Bolivia,1566.260926,55,0.755863488,58,1161.905203,58,-3,0
Morocco,1469.01181,56,0.71103219,59,1092.991014696863,59,-3,0
Kyrgyz Republic,1430.242841,57,0.693484698,60,1066.017199226616,60,-3,0
Bangladesh,938.9168259,61,0.45174982,61,694.42495163394085,61,0,0
Cyprus,922.5856232,62,0.447,62,687.12357955199968,62,0,0
Curaçao and Sint Maarten,856.7106336,63,0.421,63,647.15665993599976,63,0,0
Mauritius,827.2557515,64,0.3992,64,613.64593502719981,64,0,0
Ireland,798.7486268,65,0.387,65,594.89222659199982,65,0,0
Guinea,616.5575626,67,0.330934636,66,508.70915383323421,66,1,0
Ghana,1414.407389,59,0.281,67,431.95016969599982,67,-8,0
Paraguay,547.5288625,68,0.263425,68,404.93406922479988,68,0,0
Mongolia,536.00291396328009,69,0.256934056,69,394.9562601,69,0,0
Nepal,10.84265837,103,0.25681332,70,394.770666,70,33,0
"North Macedonia, Republic of",457.0629829,70,0.22161704,71,340.66732350868369,71,-1,0
Guatemala,457.0620779,71,0.2216,72,340.64113026559988,72,-1,0
Tunisia,274.828,78,0.22,73,338.18162751999989,73,5,0
"Latvia, Republic of",441.6852872,72,0.214,74,328.95849222399988,74,-2,0
"Lithuania, Republic of",385.9586388,74,0.187,75,287.4543833919999,75,-1,0
Colombia,309.9925752,75,0.150306718,77,231.049866,77,-2,0
"Bahrain, Kingdom of",6.6489,107,0.15,78,230.5783823999999,78,29,0
Brunei Darussalam,303.5921942,76,0.146070147,79,224.53745526295151,79,-3,0
"Mozambique, Republic of",261.1441265,79,0.126574871,80,194.56952736341049,80,-1,0
Albania,223.92,81,0.11,81,169.09081375999989,81,0,0
"Slovenia, Republic of",210.5228939,82,0.102,82,156.79330003199991,82,0,0
"Aruba, Kingdom of the Netherlands",229.53296,80,0.1,83,153.7189215999999,83,-3,0
Oman,200.4753234,83,0.07582568,84,116.5584175918668,84,-1,0
Luxembourg,148.6043957,84,0.072,85,110.6776236,85,-1,0
"Hong Kong Special Administrative Region, People's Republic of China",137.76,85,0.067,86,102.9916775,86,-1,0
Iceland,131.5893267,86,0.0638,87,98.072671980799953,87,-1,0
Papua New Guinea,86.90509997,93,0.063,88,96.842920607999957,88,5,0
Trinidad and Tobago,129.2520929,87,0.06267072,89,96.33675494295548,89,-2,0
Haiti,120.9899408,88,0.05821302,90,89.48442657,90,-2,0
Bosnia and Herzegovina,99.13016322,90,0.048,91,73.785082367999976,91,-1,0
Suriname,96.98714424,91,0.04702635,92,72.288398087841571,92,-1,0
El Salvador,90.964,92,0.04411,93,67.805416317759963,93,-1,0
Cabo Verde,33.00128,97,0.032,94,49.190054911999979,94,3,0
Honduras,46.11248961,94,0.022340309,95,34.341282078422779,95,-1,0
Zimbabwe,35.97805385,96,0.020164949,96,30.99734229383548,96,0,0
Dominican Republic,38.03172716,95,0.01829561,97,28.12381439214175,97,-2,0
Sri Lanka,31.24429796,98,0.0151,98,23.211557161599991,98,0,0
Malta,18.57554946,100,0.009,99,13.834702943999989,99,1,0
"Estonia, Republic of",16.51159952,101,0.008,100,12.29751373,100,1,0
Chile,16.47255557,102,0.0079,101,12.14379481,101,1,0
Solomon Islands,8.0772,104,0.004,102,6.1487568639999983,102,2,0
Uruguay,6.69387223,105,0.00324193,103,4.983459838,103,2,0
Bhutan,6.65259537,106,0.003215072,104,4.9421744048097533,104,2,0
"Moldova, Republic of",4.913951917,108,0.002383446,105,3.6638082298363881,105,3,0
"Fiji, Republic of",1.7237875829983289,110,0.001,106,1.5371892159999989,106,4,0
Burundi,2.00002801,109,0.000966172,107,1.4851891792011509,107,2,0
